"class","GLCM_pan","Mean_Green","Mean_Red","Mean_NIR","SD_pan"
"n","n",123.4265021,217.025641,99.85470085,623.6239316
"n","n",128.6205357,237.7857143,98.64285714,610.5
"n","n",145.0787037,219.6296296,102.2592593,507.6296296
"n","n",104.1197917,213.1666667,102.3333333,693.8333333
"n","n",117.1355353,186.9272727,82.58181818,337
"n","n",136.2742981,199,88.03448276,412.1724138
"n","n",127.53125,227.9285714,107.9285714,615.5
"n","n",105.984375,181.25,76.75,351.25
"n","n",117.8825476,201.2631579,90,447.9736842
"n","n",140.2259348,227.0886076,103.164557,538.6962025
"n","n",125.2264666,237.1847826,131.1086957,463.0869565
"n","n",135.1405714,243.8636364,125.4818182,432.1909091
"n","n",106.6822034,236.9333333,121.2,491.6
"n","n",114.7693208,235.4814815,125.1296296,459.537037
"n","n",139.9821429,195.3571429,100.0714286,476.9285714
"n","n",134.0091211,213.6710526,104.4078947,360.25
"n","n",118.3174905,214.3939394,91.48484848,520.030303
"n","n",136.3944175,206.8076923,91.07692308,499.1730769
"n","n",117.1812866,211.8139535,91.58139535,529.5813953
"n","n",116.8624454,220.4482759,100.3793103,621.1724138
"n","n",130.3320313,198,87,426.25
"n","n",132.0223684,217.7916667,99.91666667,625.8125
"n","n",110.1019417,251.7692308,120.7692308,903
"n","n",133.4945227,222,96.65,651.775
"n","n",118.8636364,242.7878788,121.3939394,552.4545455
"n","n",119.0455531,205.4827586,92.86206897,527.5862069
"n","n",105.9145299,219.7272727,97.63636364,606.2272727
"n","n",153.859375,206,91,549
"n","n",117.5249781,233.9166667,112.9444444,707.9861111
"n","n",131.0292648,243.0909091,112.5454545,867.0340909
"n","n",157.3645833,239.3333333,117.3333333,712.3333333
"n","n",120.1087282,253.5555556,131.3174603,612.4126984
"n","n",134.4332386,185.5168539,81.58426966,306.752809
"n","n",119.8961625,193.3571429,87.67857143,332.2142857
"n","n",128.3848631,201.5897436,88.87179487,502.1794872
"n","n",125.8571429,246.1428571,120.0952381,500.1904762
"n","n",135.9869452,199,82.25,423.3333333
"n","n",131.3426488,202.8461538,88.28846154,362.9423077
"n","n",128.8581395,193.2839506,82.19753086,444.5925926
"n","n",123.5956848,209.9552239,92.20895522,601.9701493
"n","n",145.1126126,204.7142857,85.71428571,495.0714286
"n","n",133.5096154,187.4347826,77.5,354.2173913
"n","n",124.8608924,252.4166667,124.25,595.1666667
"n","n",113.5956113,274.35,132.4,694.65
"n","n",119.9917197,199.0909091,84.8989899,391.1111111
"n","n",135.8412138,197.9775281,86.51685393,474.741573
"n","n",148.1601563,193,83,376.5
"n","n",127.1800198,224.8350515,99.28865979,675.8865979
"n","n",127.872211,208.516129,95.96774194,377.7741935
"n","n",86.61702128,197,78.33333333,324
"n","n",107.5666667,197,86.11764706,441.7058824
"n","n",126.9768786,242.2236842,113.4736842,602.1578947
"n","n",103.0382514,243.1304348,115.9130435,579.3043478
"n","n",101.2916667,201.1111111,82.11111111,384.1111111
"n","n",138.7614679,214.2195122,94.04878049,482.3414634
"n","n",100.5,212.5454545,88.27272727,546.6363636
"n","n",129.2687747,278.4166667,160.4166667,378.5
"n","n",125.7721612,234.5930233,116.3604651,534.0813953
"n","n",125.1625,209.9,92.6,592.4
"n","n",127.6560636,209.3492063,91.57142857,568.984127
"n","n",137.9155844,225.1025641,102.6410256,595.8717949
"n","n",136.5425532,211.1666667,96,515.75
"n","n",136,207.2045455,91.65909091,476.8636364
"n","n",124.7676508,212.6122449,91.20408163,650.6122449
"n","n",118.8655462,229.3333333,103.9333333,518.0666667
"n","n",118.6466216,222.2150538,97.68817204,682.4946237
"n","n",112.7365591,261.2571429,126.5428571,803.9142857
"n","n",129.1752988,204.5,98.75,166.5
"n","n",121.0135397,256.7692308,115.2307692,708.9692308
"n","n",127.8972458,216.7833333,102.3166667,360.6166667
"n","n",139.5927711,253.1538462,122.4230769,757.3461538
"n","n",130.0623679,194.2333333,87.2,252.0666667
"n","n",132.3725962,229.3076923,109.6923077,584.1538462
"n","n",123.4243542,282.4230769,190.1923077,427.4423077
"n","n",124.9349548,233.4144144,108.6846847,789.2072072
"n","n",126.9479769,243.2727273,108.9545455,687.0909091
"n","n",111.3308824,234.7647059,105.3529412,885.9411765
"n","n",130.8685015,230.4146341,102.3414634,727.2926829
"n","n",118.9055482,237.2736842,110.3789474,815.7578947
"n","n",123.8233475,248.2883436,125.0858896,554.9079755
"n","n",131.5198903,242.4347826,113.7608696,682.173913
"n","n",131.4297872,183.9333333,81.4,230.4666667
"n","n",110.3010471,191.0833333,81.91666667,368.25
"n","n",121.9114114,218.1190476,96.04761905,583.0238095
"n","n",122.5722433,228.6363636,100.1515152,609.4545455
"n","n",133.4896789,192.5181818,83.15454545,326.3454545
"n","n",129.4940653,192.4651163,82.44186047,242.4651163
"n","n",112.8503937,290.125,145.4375,807.5
"n","n",121.022022,297.2539683,192.4285714,414.6984127
"n","n",131.5508021,185,76.16666667,217
"n","n",117.1241218,253.537037,116.8518519,715.037037
"n","n",123.4019312,199.2285714,87.62857143,309.8285714
"n","n",134.7116345,204.0677966,92.78531073,370.3333333
"n","n",131.5027739,198.6813187,89.03296703,262.7252747
"n","n",116.7587302,214.2268908,95.62184874,549.0084034
"n","n",137.0473815,185.8947368,79.19736842,256.4342105
"n","n",121.2526998,204.6551724,89.31034483,493.3448276
"n","n",134.8614719,207.7586207,90.34482759,533.8965517
"n","n",133.7816092,223.3098592,99.11267606,552.056338
"n","n",131.366112,186,82.73809524,273.6428571
"n","n",116.9648438,222.6875,96.4375,498.6875
"n","n",133.1147132,171.6710526,70.5,218.2894737
"n","n",130.2059471,203.7982456,88.63157895,380.8859649
"n","n",137.9292365,195.5294118,81.67647059,296.5294118
"n","n",118.6460177,262.6976744,143.8139535,500.6976744
"n","n",115.8304214,241.4590164,122.3606557,535.3114754
"n","n",97.91071429,211,91,501
"n","n",108.2619926,199.3529412,89.35294118,504.7647059
"n","n",130.3632813,199.8125,83,434.375
"n","n",111.2085714,210.8484848,91.31818182,562.8333333
"n","n",144.2718447,229.8461538,105.9230769,641.3076923
"n","n",126.5110212,248.1637555,112.5349345,758.1943231
"n","n",128.2791878,236.8,113.28,712.04
"n","n",135.1243358,251.9663866,133.487395,441.0672269
"n","n",112.9027848,248.75,120.1532258,816.3709677
"n","n",121.4790807,273.2897196,167.6728972,459.1401869
"n","n",129.3262705,248.75,114.7451923,730.5649038
"n","n",137.4369369,246.8809524,120.547619,599.4047619
"n","n",132.8467875,234.3684211,109.5263158,743.1578947
"n","n",149.8404255,243,126,858
"n","n",110.5526316,264.3333333,135.6666667,919.3333333
"n","n",118.8706625,218.6,93.8,533.2
"n","n",130.4335021,249.2382671,114.6173285,726.6787004
"n","n",125.5173522,249.0641892,116.0608108,732.6418919
"n","n",142.0351759,253.88,126.12,650.36
"n","n",102.454955,216.4285714,97.42857143,445.7142857
"n","n",115.7430493,195.15,85.45,401.6
"n","n",120.1996779,190.1794872,84.46153846,385.1794872
"n","n",85.41666667,207,94,506.3333333
"n","n",111.2719665,196.9333333,87.46666667,361.6
"n","n",122.1910615,206.4107143,95.125,507.3035714
"n","n",135.3217391,213.7692308,96.86153846,555.8923077
"n","n",118.5231884,200.5862069,85.03448276,392.091954
"n","n",94.39583333,211,98,513
"n","n",145.1022727,202,92.63636364,514.7272727
"n","n",118.454219,189.2571429,80.45714286,289.0571429
"n","n",128.0457064,204.9926471,92.43382353,446.0294118
"n","n",123.6488372,187,77,277.5555556
"n","n",105.1534091,200.1818182,95.81818182,503.1818182
"n","n",117.9481216,209.8,88.02857143,391.5142857
"n","n",137.2786458,209.6666667,91.16666667,495.6666667
"n","n",108.0865385,231.1538462,107.3846154,666.9230769
"n","n",131.3267108,195.4035088,84.75438596,337.1929825
"n","n",142.1761134,215.483871,96.69354839,496.6774194
"n","n",134.9147982,206,85.98214286,373.8214286
"n","n",116.0435835,214.1538462,94.19230769,571.1923077
"n","n",127.5914862,222.0238095,101.1547619,621.8095238
"n","n",142.8495146,212.2307692,98.38461538,595.6923077
"n","n",117.5231481,212.037037,98.07407407,512.8148148
"n","n",123.5139949,203.7297297,87.89189189,521.5675676
"n","n",129.9671513,256.1864407,147.5677966,431.8898305
"n","n",127.6575107,238.3287671,126.4383562,463.9452055
"n","n",136.8958333,212.0666667,90.93333333,534.8666667
"n","n",126.2280285,231.4339623,118.9433962,392.5283019
"n","n",122.1508772,307.7222222,200,360
"n","n",133.8942436,199.9361702,85.72340426,392.5531915
"n","n",130.6167665,173.625,69.625,199.25
"n","n",119.6262058,210.6025641,96.97435897,511.0641026
"n","n",119.4053156,236.3421053,105.7368421,663.8289474
"n","n",115.8052764,237.04,112.88,627.32
"n","n",132.2882206,252.68,111.72,799.16
"n","n",162.075,244.2,118.2,698
"n","n",144.6470588,219.8823529,98.70588235,509.7647059
"n","n",114.6778025,246.4705882,122.9764706,573.4588235
"n","n",120.9231415,240.9666667,117.0666667,668.7466667
"n","n",126.7226361,196.5818182,87.86363636,386.2909091
"n","n",134.5498576,226.2045455,99.70454545,676.7727273
"n","n",120.7212331,253.7521008,118.5420168,893.2689076
"n","n",126.2727273,224.3658537,106.2357724,721.1788618
"n","n",129.7386935,208.24,101.64,317.12
"n","n",128.7336207,214.7671233,107.4383562,233.8082192
"n","n",124.7524171,201.4615385,89.87362637,494.3956044
"n","n",107.9789474,217.9583333,93.58333333,677.5
"n","n",116.8022923,171.0454545,79.27272727,334.1363636
"n","n",132.1858238,174.4646465,72.83838384,340.9090909
"n","n",130.5031012,174.4430177,72.14285714,282.8170144
"n","n",122.2428952,377.6866197,270.806338,399.056338
"n","n",127.0803076,242.0884354,112.4013605,608.6258503
"n","n",127.8081761,245.35,141.65,516.15
"n","n",130.3682394,267.6545455,175.7909091,356.2181818
"n","n",128.5480346,222.3641457,100.4677871,653.1204482
"n","n",121.2991182,215.8707865,99.29213483,556.2191011
"n","n",134.8260518,203.5419355,94.49032258,484.2580645
"n","n",131.0490012,191.9502488,85.33830846,333.3233831
"n","n",145.2777778,207.9411765,95.82352941,437.8823529
"n","n",101.3698885,214.4705882,111.1176471,503.1470588
"n","n",126.9868299,216.3272059,100.6654412,585.6029412
"n","n",123.7828645,203.3414634,90.3902439,438.5650407
"n","n",135.627566,243,117.9767442,642.0465116
"n","n",118.1988449,313.9078947,204.6184211,508.0263158
"n","n",132.4273472,236.5857988,113.6952663,570.1804734
"n","n",128.3949087,237.2372881,115.5677966,519.1779661
"n","n",134.8437107,234.305,110.745,636.345
"n","n",96.1015625,843,662,742
"n","n",126.1371211,241.5865385,112.1153846,782.1057692
"n","n",119.0134529,243.755102,117.4795918,755.0510204
"n","n",133.5738636,211.1704545,96.78409091,559.6022727
"n","n",115.7617978,228.6357143,107.5785714,623.7928571
"n","n",124.8878964,220.9039146,100.3879004,577.8327402
"n","n",129.5350026,201.5691057,91.75609756,495.4227642
"n","n",129.8303571,194.6190476,89.61904762,389.1904762
"n","n",134.442345,221.969112,107.4440154,524.0926641
"n","n",129.6552995,186.9428571,76.68571429,287.2
"n","n",114.452381,428.047619,278,518
"n","n",132.1166667,450.6,306.8,374
"n","n",133.7062706,467.4736842,341.3157895,508.2631579
"n","n",121.4993301,507.7902098,302.5454545,441.4475524
"n","n",147.68,220.2272727,110.8636364,520.3636364
"n","n",134.9350649,246,131.1413043,556.7608696
"n","n",126.7313077,242.9433962,128.5141509,506.0566038
"n","n",145.2019231,235.7692308,129.0769231,433.1538462
"n","n",117.4557439,261.0601504,151.1729323,500.6015038
"n","n",133.2240056,244.8555556,139.1777778,430.8666667
"n","n",102.3833333,230.6,107.1333333,490.9333333
"n","n",125.7160548,225.5574913,128.1010453,194.2857143
"n","n",130.264095,203.9647059,99.55294118,300.4352941
"n","n",139.2536534,219.8,117.3666667,328.3166667
"n","n",133.3715278,405.7777778,331.9444444,564.1111111
"n","n",116.1288265,450.6530612,437.0612245,783.5102041
"n","n",129.4631579,531.625,512.4166667,728.0833333
"n","n",98.9453125,522.125,504.375,772.375
"n","n",106.9038462,354.9230769,295.3846154,586.1538462
"n","n",162.40625,609,599,778
"n","n",131.313253,277.3617021,167.1914894,331.2978723
"n","n",121.8886598,249.8688525,128.9508197,682.4098361
"n","n",132.9134024,237.472067,114.5195531,543.0810056
"n","n",128.5909827,275.3663004,193.7912088,359.7326007
"n","n",126.7859327,179.6097561,89.7804878,245.0487805
"n","n",126.4333932,236.7885714,116.0057143,565.3771429
"n","n",130.2065015,242.0788177,121.1133005,609.0344828
"n","n",124.221121,255.4673913,136.6141304,739.7336957
"n","n",140.1828704,344.2592593,257.1481481,681.7037037
"n","n",133.2921811,330.0967742,242.483871,546.8064516
"n","n",96.79166667,493.3333333,339,378.3333333
"n","n",120.4450549,208.2185792,92.25136612,477.9016393
"n","n",119.2764026,240.1168831,116.038961,554.4025974
"n","n",122.3645214,240.4655172,115.2241379,736.9568966
"n","n",125.7544757,242.1382114,118.5365854,607.3333333
"n","n",134.3933075,234.1923077,112.3307692,598.0307692
"n","n",122.5745297,287.6206897,212.0114943,353.3333333
"n","n",117.8685714,182.1363636,79.45454545,212.7727273
"n","n",127.9383825,206.2857143,98.26530612,553.877551
"n","n",128.3212851,203.0638298,91.70212766,448.9361702
"n","n",127.6393117,195.4,85.27368421,501.8736842
"n","n",133.8343711,186.9607843,78.79411765,407.8039216
"n","n",129.6544732,175.4968553,71.65408805,273.6792453
"n","n",139.8374348,197.4404762,89.07142857,536.3333333
"n","n",108.6711712,208.5714286,96.5,438.4285714
"n","n",131.8519225,328.5477387,206.2311558,310.6482412
"n","n",124.4695364,215.1526316,98.48421053,675.9157895
