User ID,Number of friends,College Education
RATLMEVF-XFNX-2ULX-UEH4-QFNEFMVHHS31,65,Unknown
9BCSWOS0-W9YL-XB9C-NC74-8Z99GYYIWMO5,32,Unknown
FWUJO73B-TOQB-VWWM-H5I7-LLZBVMLOLZ3P,93,Yes
G1CYHR5X-BQ1D-K12A-GUDC-YX1I54SAL47C,151,Unknown
IXL2BV5T-W104-MVHD-NZ1Y-7F3CA6CUMQEU,152,Yes
EHDFS84V-BSYM-2T4A-PCF6-JHSJRP2GPKSW,49,Unknown
9DI10UD7-H2P2-OX5L-YPRZ-FN7Z2PTO5FGA,0,No
BFF4CNL0-38D6-6NX8-MQMI-1MC4841WA3YQ,78,Yes
UAWIBJJ8-LVFI-ESLI-34TT-MLDYQDPX7T5A,105,No
ZDUBFGT4-6EKV-U4U7-YYBK-1M1HAUYRHGDE,112,No
14YGGVAH-871L-P312-G8EY-85WVU0K5M3UQ,122,No
2FAD07U0-1OBB-BHWQ-TQBV-WRX08G16L5QM,153,Unknown
FOEFMS3M-26QZ-B7Q4-8DA2-BEK8BE4ZHVFO,111,Yes
NZDE406K-38WZ-XMOT-DW6G-SVJOGAFRTY3P,0,Unknown
9064KLCS-ZRDP-M20C-YKBD-G8R1Z67E1310,112,Yes
V2AMU7YR-E7XH-58JI-TXOU-UY7CH40G9Y9D,80,Yes
162ZVRAY-AYQ3-X4OW-3I6Z-60R0H4YAQU9A,108,Yes
37I4SRDD-9320-BAF8-FVYB-DEDJOGZ51W92,158,Unknown
78CLK634-CQ62-6AG3-F8AE-FG4HU1F1Q0V0,92,Yes
02JBV89I-DXPZ-PUIZ-HOJM-KVORAILD49S5,0,No
L5P7S9AH-ERX6-L8VL-4Y4H-EN9HVV5FVX6Q,104,Unknown
TX2IUWMD-SEAI-VRMG-2AXA-0NU36WKYFE0E,125,Yes
3L7JC1OR-VYSI-ISPA-57J5-K0UDSJET83M1,97,Yes
4O7Q1QI2-NR9J-FSW4-6F3V-TIAWVC327MBZ,106,Yes
NZNVQVYS-I8IN-1O07-NC43-NTBFUK8N6KMD,103,Yes
V4YYQSFB-4XIT-NRHY-QA8A-EMUZS9P7S4IK,51,No
U3OTGJV1-FTYO-OLKV-YNHR-ZEX0JZWL7YJR,120,Yes
ORF5ZXFR-MXYT-S0EP-Z052-1IWWV7TPUU5W,101,Yes
P0C9GQFP-98X3-UKP1-8L9H-6M826QOQO49O,157,Yes
JE5957PV-Y43I-VACE-5IIH-6PXH2PI2T5FD,90,No
2N8JFKRA-E7TW-BM01-F7DQ-YG9BMLA423U9,83,No
420VFMN3-UXK4-PFHM-JATT-PPEFBWNYV8ZO,128,No
8VNU5Y46-F8DQ-44KB-E3T6-UPYBSS2AG0D8,126,Yes
VOE8FFKB-LG1C-OCNF-Z3TJ-ZEV7X9S9LR86,150,Unknown
D4XNTNS2-8RIL-KKMH-UODR-2YBJL7WYOBM6,0,No
JGNG9HNO-H8QJ-MPIU-WS7Y-IS01UIF9P3O2,129,Yes
35D1ZWUT-JT62-UPYC-G1NS-EACOF3WKG5RF,90,Yes
NPFZAXNO-Z269-R9MG-50CJ-ZEN8MGQTGPV9,83,No
U72CMX0D-9PH6-E7SN-S7GH-6GC7WLQ55IPH,129,Unknown
QO5GH7KP-GHN7-FMQ1-UT0A-7YP9CKQ3QZ56,140,Yes
XOV5VGNP-369X-N5RO-HDS4-THOGR7LMATIT,98,Yes
TV2G631C-LIIR-7LR3-K3X4-GIXU1T7GVKRO,157,Yes
020VUETZ-AK4P-LW4V-5VTO-3P71YI5ILQ7T,110,Yes
BAEA8FAG-AZVK-ISZC-A9SE-1VXJ08TOTA21,0,No
I11UIBO8-1WEE-YDJ6-G7TM-TH8982CE89PA,125,Yes
1FKAE86O-X4GP-4HVY-IFW9-K4U6ASN556VF,168,Yes
0X7HW3VZ-VOH2-IHJ4-VLB0-LNQHEFW5GCP5,101,Yes
753M1XU6-K27R-LBRI-00F2-VBRNBNAZFE1F,77,Unknown
G9P8JDUQ-VCAP-A7OE-AOFO-HHVIDBIS1AP6,0,No
YXWR2TR3-RSCI-UZ47-O57S-OGFXA0TDMYPU,104,Unknown
VFJHC83T-HQJT-PH0V-I280-JICP0AWEW783,96,No
PL3V0PIN-M1NZ-PN54-UT0A-TYS8PJGXE5OG,70,No
4LJEEDJ8-D761-8ZHG-VC33-6V7KLGDJ698C,94,No
VOD0CPZ8-OYD3-E4BM-1VXW-NZ0DHUW838ZX,155,Unknown
GAW3IRYN-TX81-O6BB-5C2R-NR0X8GT5WRA6,90,Yes
W9ESN0LF-AMI9-BBDG-YDQW-4DPCMGYCVIYR,141,No
1OMENX3C-1UDH-UTY2-1YC5-6CH6ELH5UUNW,158,Yes
OH5F2D6R-X5ZL-3JMF-RYUA-2D663V0W9MEG,157,Unknown
0IOL064I-A94X-1JM5-JKAT-0I4Z7BLTC089,0,Unknown
8AG7WTSI-D01L-Q1QS-RYL9-ZZC7JE6VZPIM,86,Unknown
HQ1KZXH5-YI8T-4RXG-0NSU-NIHJR1Z9R1Z0,0,No
V789BV4W-BKIF-0NYO-2CMS-KKI38JILJ3KK,88,No
M3OKMUKB-N2ZK-L71B-2OFY-VQSYLOH0CP1V,0,Yes
NLQ98CVT-BIJ5-PLSK-OBR4-EIVBCBWYQXKX,89,Yes
7XSYES1Y-S5EI-PNCU-RN1D-DPYFF0K4VT4M,0,Yes
3B776SGI-OSY4-EU49-LPF9-EWO4MCE47ODQ,109,Yes
PJA2JCTO-2VS9-ULRL-XSQ4-KFFTU3OXX6S1,112,No
DLK85F82-7TUH-PVA8-WG4H-DKM13U99TPXO,117,Yes
QYRXZG22-H7QC-1LNY-FIOX-16WDSFIASJWT,140,Yes
9I5R6S9E-NEZI-XN8V-Y1DB-MYX71B660E4Q,96,Yes
IET3Z9YN-RGK6-LW89-28BW-R5HUGJH3C9WJ,25,Yes
KZM3WMIG-ORR5-CHF8-XPM1-62FIUB0A41KR,116,Yes
1EWIN12M-FPL5-1WCE-ILF2-90BYIZC19TVQ,108,No
SWB64RLV-OYPN-UKMU-PPO7-XG0GV8E2NB25,85,No
ZEA3FYPK-CH4G-S6Q0-2JWI-XQ25BB3MQLVG,96,Yes
Z00HLT85-4Z73-J6RB-Y7AP-FT79G3NBIX5K,109,Yes
SKNWXI2R-EGB0-MKMP-HN17-2DGCZXR2HW9K,112,No
KVQDW3EU-G4QK-BW7X-X2CK-FN29IV3FUHHT,142,Yes
SJOIUKN0-ZW11-GXKR-M8BZ-S7S38P91BYBC,109,Yes
U07ODU55-WDTE-5ETH-YFSO-XOTTOFATM3EH,88,Yes
4W8L369L-6TBA-RSEO-3UZ2-BL8CZTGP7ZMJ,90,Unknown
DJ3L8I48-K9L5-FMVB-4KTH-Y0PUW5K0A1GF,0,No
73LO0L67-5MP0-K0MV-4N56-BAUTNJM40W34,115,Unknown
9RQTHTB3-EDBS-F5IS-CPBS-QG29DJWZ79H7,133,No
PH3E7NPL-TNO6-2HFM-QL88-848U1Y1AXZER,155,Unknown
WBKFAVYV-DDDU-UR1V-07UV-M24NKP5DVDPX,93,No
N06JQVJ9-WVY5-HHF6-LTKI-JU1RHR0FHEYH,79,Unknown
XB03CWN5-AI18-LBGE-8IDT-C1N1ZWHXTV8F,87,No
G41U75J3-NGVQ-SRCT-GW6O-LCMJIE3DXYM7,120,Yes
B5JIBXDR-JKAI-G87U-BZSJ-3SCA53GYH0WW,151,No
KW6JEAMK-09E4-BBNU-6P9O-OHVVJGAK82WY,90,Yes
BXRML4FY-L16K-SKCQ-OUX0-IIMP1FOI01KN,107,No
59X3G3MS-J114-FFQS-398L-MJZY1MTM2JTK,0,No
BBHSOXWH-QJ6Z-W439-8KKN-IPWKJF8AS932,144,Yes
AON3AZ4Q-93DK-SZIC-22K6-HVJYJ77Q44OQ,151,Yes
RZNL6MWL-QGF6-8Y0S-RG4N-BA1V61HLTPFB,0,Yes
71AHUHLO-3C80-33RR-AY1Z-R7ZH9LH1MNV2,131,No
Q1RCMSY8-6H2G-JZME-EI10-X578DMPNHTSC,92,Unknown
NEOM1E7G-4F36-EVOV-1HSZ-HQ0YX92NM7Z6,162,Unknown
VSTAYCV5-T6ZH-STQI-1YT7-3WLVU4EGPTEK,96,Yes
F5SR0LLI-7QFE-54SM-CKWC-D7NORURTPGLB,0,Yes
ZP5HVHZF-2TOP-FJNH-3FRI-YW35XDAQ2056,102,Yes
33K7P2WL-62K8-7T39-8BNN-D4NDE15ORSSR,68,Yes
SLNV0AVX-09YL-ETU1-2BZ7-UJHOF0M71Y7I,,Unknown
GVV6ZMNV-KN6N-ABEP-Q92L-4QK2DOXYNE8Z,161,No
413CS4EU-1W0F-GM0S-TS3R-3KJZK7N07QVW,97,Yes
IJS4BOU1-9OLY-1OR8-3H2W-T7JKU2KW541Q,126,No
V9HLH3PH-NKEC-FW67-T37S-S101WW2RCIJG,138,Yes
56I6ULK4-YOND-S5ZR-C953-GGEWJ9NMB5L9,93,No
HBBOUCN6-ATAF-ZLU1-WL88-6IN5T7FG7JU8,93,Unknown
Z66I5MQD-CTSE-FX1O-3DHS-UMFH560ZQQEL,99,No
Q5YRSX12-FXWG-LZ33-NAT0-2MQZUNEG893A,124,Yes
78VLEKMQ-WJIG-JROB-AKEM-BS3FBFZ8LKIT,93,No
72132E83-T4AU-8OBS-O917-9FJAXXYNXKFP,59,Unknown
IMXPSIT1-JVZJ-4WQ2-GKMA-XIBUV9AILVXN,113,No
T4J1KR0O-DKF1-X9IY-1KVW-7TI3DG84LZ6G,163,No
JPZ8WVG6-IGCK-T20G-NYUH-JCGA9E7EZT88,69,Yes
E1CXTDSC-FBJM-4837-E68Y-9WW1SCONO30G,95,No
31LOGBEY-0J8K-7LJV-PD15-3KZ21H0IWJ3G,86,Yes
B3U3X9EL-TZYZ-TSB0-V860-AP6FZ8SB4IC6,160,No
GHQ12PBE-7OI6-12AL-1EZW-D9R823LRDH6F,160,No
1QLWWRNZ-EFV7-KVUV-PF68-JF0LQT04EH8Y,0,Yes
CTZE73FP-7WA0-EG54-8HO5-CB3HQDD7ARMF,80,No
5D9827ON-5VOR-3VDA-SIX6-J1GO67PTLZS3,98,Unknown
SMRK75EX-C10A-UXPW-KH3D-4W5BRL5OXI5C,116,Yes
B9OGORYJ-5R9C-DFX4-6HOU-X33PIOGOM629,91,No
43UY42BL-45J7-WATW-NG39-RL8L99S3VMWY,96,Yes
SPE0KYRD-BJN6-RQ3C-E6TQ-7HLL3R1ML8RQ,56,Unknown
Q05XMZ1M-O7XL-6WGS-YG0Z-90VO4295Q1YC,153,Yes
FOJK38OA-MOVK-XYED-II1G-4WVO229DNWI3,82,Yes
XZF8VZI8-POSK-LVDR-DF78-TPCLKCUYEIHX,0,Unknown
0O76S9X2-BIIV-DPT1-DO77-E1DXB6M1UP7Y,146,Unknown
AG5HCD38-3I70-4TGD-TXGK-IRAAYW7QF51E,96,Yes
NVJ7J4SR-Z46C-XY75-QOPS-FJJGH3E0TYJ1,132,Yes
43UCA5E5-PQP5-UMFL-F3C9-3RU6ZYZY4EJD,148,Unknown
R1R9C7L2-SBKN-8G22-NNO8-X3GTRT7BSWTX,141,No
K3FXZDBF-33O4-KC1G-MC2O-R23U52E1DM9F,0,Unknown
VKCY9BS5-LP8U-AT9Q-24LI-D768IW38LUBV,164,Unknown
RMFD0T6T-R53X-JV1O-QVHL-IP69I4I08PC6,101,Yes
KSG1VQRZ-LGHF-REDZ-W4JN-VX91A2OZQXXS,136,Unknown
3SJ7HYQQ-ZNQ3-GEHE-OQW6-T3KJ4IBYPMBZ,83,No
Q73I11FL-OO75-8CJR-U7P5-SYT6UNG9QUHQ,114,No
7TWAPX4W-UQ0Y-YNZE-X52R-M4EQRWRPU6YT,117,Yes
KSDGHVS3-0T9Z-JU0Z-J710-61JXNG3C6P2B,65,Unknown
9MJUPMT4-87XU-TKKN-R2EG-ROCWF3CO69MA,116,No
2NUT3CTD-LZEA-GF5Y-8IGF-8JFWO7TG7365,122,Yes
KAUPLYK4-9NXP-CY6U-XM0K-J0W1L3TZJQSX,0,No
7LCB741P-MPBB-TLGZ-CZJG-2VIWENB383MU,59,Unknown
SGXADL6R-ZHXE-REIW-8J72-HEAV1V5BI5ME,0,Yes
94C8ZK4Q-8NWJ-OVFQ-3HAG-AYXYYPGGH7B9,99,Yes
T5L92J4X-ZERS-UZU7-AYLF-YC1S7O6FDMP2,161,No
Q4WTN8KD-TU3I-7W6H-N8YQ-VAH7A8L3TCCL,150,No
CFQZAI3I-NU0B-1D88-2M16-U62C0RFLA7GL,151,No
JAVEE4AX-PPN8-6DI1-2SJO-QS5UM4DQJ6GK,0,No
OMLZID0U-DCKT-RDIB-DP7R-Z1VO7PKQXJA1,110,Yes
0BOB8F0L-PEVN-VUNM-ON9N-FWWZ2ACHR7KP,103,Unknown
JSADD533-KWNT-H3KW-7QPA-OZT4LT5EURNG,0,Unknown
9HB1EHMP-LDLF-YAT5-0SB7-XSXU0NCEXGLQ,119,Unknown
M6TJPF0J-U6MX-XOQB-FTXX-3MB0JSOYIMLW,128,No
MDDF3AEZ-AKFI-8XT5-LZV5-DHZB6U6MNS8B,105,Yes
O1U45TM7-SU2M-GCIO-IYH4-YBTUF94V77O6,80,No
EFT408X2-OBD2-XP0O-3LQ9-9EMQ3VLSAXR5,49,Unknown
CQ1G5GYJ-JKZ6-K0UW-W7LH-1ICSQ03U8C1X,86,No
A8JLTABO-YU84-78MX-S26B-372TOSWWASX0,118,No
AL92CGTL-PG8O-I7ZF-KZOF-CB4A7AF6439F,0,Yes
40TPTEZR-VC25-8DL9-NCS9-ZSAX7GAF5NGH,129,Unknown
064FXG6B-UQ06-UPS5-J6JQ-FAH8X4KSFJI2,127,Yes
CMPMI2VB-IS7E-92RW-T5PJ-UWTNTVFHAJEH,128,Yes
SFCWFY90-T9MI-ATSE-2PBR-SD9HILGH1GPW,106,Yes
TXOPB15A-OK8O-3874-3PNU-MGZD8X497NMF,103,No
3XMAUCSK-3JEY-RLD8-19WZ-ZPTTAAFH943Q,103,Yes
39EOZST6-I3OA-W473-JZY6-3XRLIZ6ZEVSM,96,No
1O6M12RG-4ECD-MV4L-5KGJ-P3Y9WMIK1JRJ,108,No
J7OBKMK9-ZY0O-JU80-2YPS-CGLQ9NRLTE1G,153,No
TQ8WH8RF-VD7K-6W16-JOCE-JFG1B8YL4BMM,0,Yes
OMHJDXX3-ZYOE-JOS4-XY2X-JC35907NIKPF,63,No
LGPDG55Q-OEUW-4G87-BCDI-QX26P1KK2OVW,86,Unknown
BE8WJ3TE-UY7U-ODFN-HDBV-PU645QPYKF3Z,85,Unknown
Q9LEYO9S-NJR1-8EEM-PO3R-RFH2QGR4E9UW,131,Yes
CCUM2YUY-6JDG-5YFU-JBQ4-QMDCHYN20BBQ,128,Yes
FVAQSRHP-YIKX-8US1-4AOL-5WCFXOF3JUCK,92,No
8HHT3ECX-9TQO-992Y-Q0Z8-MOD5IJ4I1OW2,104,Yes
IMDWVG27-544A-DZ1P-129U-1SS5HEDXFXHB,158,Yes
2ZBESKIN-FGZZ-25N1-6L84-L865T1KO0MU7,94,Yes
PLJAQWAR-NT8H-Q7O6-QRMO-4JTNB8DFFWRM,128,Yes
RR554L2A-DBF7-3K42-J36N-CC6MUTZNCVLY,89,No
5G3NAIYT-I5UB-A7FL-UEKO-5NGCYNN4TMLL,100,Yes
IHJD3LVP-WAF7-YFHF-QMPU-UVWVUTL3MJSP,0,Yes
KYHNISDO-BEXN-TGQO-F01D-BKFI5JG74EWJ,108,Yes
BMOK7PWO-GYQG-UGNP-ZN2F-T63QVE58FNV4,89,Unknown
YLN6F34F-DSD9-JQTF-Z6UD-T6SJ99NTS0DD,123,Yes
IAKGLUB1-7Z01-TBZD-CE9B-ZNH2IT8K79XH,0,Unknown
VT2086JR-UVF1-QLX2-PGJL-WUFFN9F3VM48,91,Unknown
1S8LZKU0-W577-ZAJE-LDAY-47UZODTHMSP1,128,Yes
MMMNYYQC-BEAP-PNUQ-4UTF-OKJA4V5KWONV,120,Unknown
K7TVECBF-0F27-T03G-R14B-NZGKB9Q6U2AI,119,No
3SFWZEW4-XTUI-90XT-1E74-6OK0MB1WDIDX,87,No
D6KCCUDP-H8GB-6OLD-0OX2-1JE9AK4SFUYG,147,Yes
0SZUYN31-2KEU-RVJ0-9DCF-L2UWWUAM2RDY,112,Unknown
A425P4DJ-TVV9-FIKV-X8H1-8DQ756C6BBU1,107,Yes
S2AMRABF-7N2C-U0B1-VMWN-BB11KIN84TED,116,Unknown
LYQYVO04-SO7T-5AEX-6DXX-4DUY573TN0MV,161,No
TE8PCHDA-CWMU-QY70-T38B-H13963556OZ8,162,Unknown
HOXHL4UY-AKNY-4QWZ-33HR-S5QZI8718P95,0,No
ULVKM2OK-9K2O-MUIJ-N86Z-2OEJ22IQ02DB,140,Yes
VEIRPMSU-1OCQ-OE25-X7FU-PHA6XBGGQ2L4,98,No
VVZHV6WV-7SET-5HEW-TWQG-KPD9XYW298TB,103,Yes
YPJ28RSE-ZU6P-TAU3-4U4H-8FJG76KAXRMU,99,No
J86ZOHXW-4VYU-9VQQ-FIAZ-5SBZI9DYXHVK,124,Yes
9S0FLXL3-ZAVX-ZI8P-O80V-R1VXIUL8QV01,149,No
MSHA2U8B-E1BL-JRVE-JRTU-BA81ZL6K38Y2,0,Yes
1WWZYGLI-G98Y-S203-870C-F23ES1FZARE3,159,Unknown
NQWURN0M-CA87-VELM-OVQJ-H1BWM5QVMRP6,0,Unknown
AYHVI1G4-NHY8-QRJB-6HFE-LL85YRPWOVSG,117,Yes
4W34VQOC-SR6W-N775-HWPG-XOMJVY1AW1LR,99,Yes
HM3TUSQX-IE4C-61PA-27LW-HPJH77FKLBU3,143,Unknown
ODT930OO-HL3V-MB9W-MWIC-GLH1WDRMG8EM,119,No
Q3TFYCBW-5FS8-OXF4-DW0R-ORNXTEL11Q7J,90,No
2CRRUV1P-5EB9-WYMK-6FT9-BGBYJCG48ODG,125,Yes
EQVSYGDJ-2ZOO-QLYO-IZI5-5G8Y8E3REOFK,102,Yes
6D7F70FH-OCTV-WSM2-LSDW-BCZYCC58ZU27,110,No
A7QXZDOP-JMHI-F3NH-G9KY-4GWVL3GINTCH,0,Unknown
52XB8ZX4-5NJX-DSAD-OQKR-56QPU1GRRM3F,95,Yes
W469ORIR-9XXN-KR4R-DGDX-HI24YSOS5T3O,134,No
JCCPUM4E-HY5W-4XEW-PU8I-DCTD5W2P53Q7,,Unknown
95DN91IB-5CTY-Y0CR-Q6KV-NOT5EXD2MEEQ,113,Yes
L427U4FP-TX0C-NC9L-49QP-9UKLD84B0YYD,87,Unknown
PR6JMZTX-I0GM-TFF6-N9ZI-QY7OAK2MOONG,126,Unknown
7KV9LO9U-3JQI-R9DU-F0DY-WLWQS7SZSJ50,114,Yes
A799LL2E-V952-CF4O-OLSP-BJWA44N7ZJ6Q,99,No
FFU8CAYR-RV4E-LDUB-4CKG-LJP03DBLTM70,0,No
9647X62V-IKW6-ITBT-HM07-5WGTDXZZMEWV,105,Yes
UX7LPWCN-WCDX-92EA-IOZO-EW06KNDGOCD2,105,No
6OQM138Z-0FPH-AEE6-OXX9-YLWS49M1Y2RK,95,Yes
7A4FGUM9-N6P4-RTXN-ZGJU-LTEH1Y3O2VNP,0,Unknown
GW6ITYKT-FNB2-0HW4-Q3XQ-L9IVR87QZUGZ,0,No
K2AUYYF8-2CD1-WW9Z-IKA2-JBHBWRT7GRGU,101,No
CLJUEQRL-URWD-LH36-POOW-IU6TSGZU5KZD,138,Yes
804058F5-SXYR-12UR-BF8L-05APDEBF2Z1R,0,Unknown
C6YNFA2P-AKRR-PNB5-63EN-9CDFXOSSHANF,103,Yes
265BXHTO-DBYX-YJLP-291B-YUWK7ZX1KLNP,68,No
W0EWJEZJ-SNF9-DGZU-7N7S-60YJVEOQZD7T,79,Unknown
ZS1BD70U-24S5-UXU3-EYAK-SQIQ60BTSOB7,105,Yes
ELKARVEN-GA1H-8WBA-AP28-QCUJ06KZETMB,109,Unknown
W5WXPU5N-EZST-ZMIX-VDHN-NUFBALPKR9D7,80,Yes
79BIIZRM-X90M-YHZ8-M4SE-M4ZJ1WDT10BT,104,Yes
K19OCUSF-OWEF-VV0C-P9KM-1ESMSEV4PU9R,106,Yes
MIT1OV68-4XEC-CNE7-NAFA-0UG6L6TBRWRG,89,No
WXXKXAZ8-I492-Z77U-K3TX-D721W6C3B9QD,163,No
JSYOXM95-KLWO-D94S-H1B2-0QWDY365CDSZ,161,Yes
DJ7BHE4S-5U81-L31T-4Q2U-OJZN78ND0ZH3,132,No
135ZGH2O-EPYL-9QF1-YZ9G-XM13KCDEV59Q,75,Yes
RNZ1LI35-PD5S-GHZ1-3EIM-XTQ6HTL1C5EP,165,Yes
Z5M2J0PQ-XX71-CG92-W0AL-HSUWE2XLZ2FC,56,Unknown
W14A9FLZ-BOKD-OTCY-004A-FKKE1MOP8GSL,91,No
X9WIG1VQ-85MI-ZFVL-2LSJ-DH6KG57JOLEF,136,No
J96RS599-290B-OFMQ-X2X2-248IPB9G8LA2,93,Unknown
LOROA9V4-YCGF-20BC-KOPJ-DMPCLZYSF65K,84,No
S9S85QO6-0M7R-Z9UF-IASY-B5RH057M04KQ,73,No
IE48X1G1-7IRH-YN3L-YIYC-R6OW9UBFXH7S,128,Yes
K9CQAFHY-U72D-O57W-K4F5-Y8HT5S7M55VV,68,No
AZ2EQBKD-BQDK-JQS1-LO70-63ICQPP3ANN7,0,Yes
4RVYDUHX-E12H-ML2K-1ZY0-0OMGL05T7WOO,0,Unknown
ZZ2Y9WLW-KZNY-XPRZ-1T5C-QP4KLYM7WV69,146,Unknown
LZGK1W1I-IUWD-654H-D52C-5LFCMPOS5BPN,112,Unknown
46P8HMQT-ABDR-KVLX-1QQO-JJLIYFW6Z51J,161,No
LOMU6ERU-YPHX-U0HM-GQ3E-74A8BWB3O115,0,Yes
BXSTS3XR-2LHM-IEB0-VOXY-6E33PO22WZQY,147,Yes
KX96BOS9-T0BG-9K8U-58Q6-2IQTPP6RR3LY,92,No
4UDSRHV0-O4WM-1WYN-ABRZ-0X66DF4SZXNQ,123,Yes
WRYMAJIQ-7CCQ-SQWE-C1UN-6IC6H1YQH0T1,138,Unknown
CJG81NCA-XXT8-77VV-NFB1-29FLWPCVR2RW,94,Yes
VL68DZC9-DF7B-W93B-JYA1-3P0IV9OG445L,81,Unknown
S3Z56F5U-0EAB-H86S-DYAH-2RE4M3GRIRC4,44,Unknown
Y3LNWPXY-H2S1-IVDP-K7K1-0YRR9BVVSVUS,33,Unknown
6O5QQ6SR-1P64-2Q19-9HXW-7D52YALP9IK9,0,No
QOLTPRGT-IT0K-9YZ9-1ATM-YXD92F3ACX6J,105,Yes
5WC9SEMK-XXSC-3BFP-7XVW-HHOC6B65F262,84,No
SOBY86TB-YZ00-1GF6-MTC4-NZW0AI3BENWX,0,Unknown
1L3USW0U-L6FJ-1EQ1-NWDL-B6EWZYFAGXDB,0,Yes
UMJEK21B-9EH0-FA29-CAF4-XICCHZYIAWE2,124,No
KZA88G1T-786O-UNIR-9Q1J-FTU6ESFS0G65,156,Unknown
L20MG151-8OVJ-5GPM-HOQ4-6O94H1Y8FB8Z,75,Yes
NOBNCID2-PPDG-YDHE-3Z0P-QZNN1OLNJUOA,146,Yes
QKNPHVPP-P6DA-SK7U-4JLZ-K7W901OV9Q93,121,Yes
QJKHW9F6-2946-VJ1Z-T5WN-P03NEIC1UP6W,108,Yes
9UYM66X3-5LOZ-Q8IM-TGGC-IDKFTJZE8N6N,0,Unknown
PK0TWVS6-QRTT-HKR6-XXHC-A3AHQFK1OYT7,147,Yes
DDPCJ6R0-0BFK-SIH7-LTJW-0XA9QYILYEOM,101,Yes
NMJV1UNN-CXSB-5VU4-G29A-J5NTTYXME8D7,123,Unknown
0J4BPUFS-VW5Q-BG3O-CQHO-BLWY9ZMVS387,132,Yes
U3DMH51A-ENF1-OA0B-J6GJ-XDVONO8E265R,116,Unknown
9OLO2ZXL-ZSYS-N8VV-TUFY-HYYTX35K3W20,90,Yes
FP4363XF-GZD7-WR4R-FC95-RCSO07XS1VN0,44,Unknown
